,labels,responses
0,SARCASM,I don't get this .. obviously you do care or you would've moved right along .. instead you decided to care and troll her ..
1,SARCASM,trying to protest about . Talking about him and his labels and they label themselves WTF does that make em ?
2,SARCASM,"He makes an insane about of money from the MOVIES , Einstein ! #LearnHowTheSystemWorks"
3,SARCASM,Meanwhile Trump won't even release his SAT scores and his Wharton professors said he was the dumbest student they've ever taught
4,SARCASM,"Pretty Sure the Anti-Lincoln Crowd Claimed That "" Democracy Was on the Ballot "" in 1860 , too . They Thought Lincoln Was "" Authoritarian "" . #GOP #PartyOfLincoln #Democrats"
5,SARCASM,-> per your tag line : never judge a book by its cover
6,SARCASM,he does ! It excites him then he kill millions
7,SARCASM,"Oh look , it's the #racist  offering solidarity to the gullible #idiot  for whining about racists"
8,SARCASM,As they are the biggest bullies of all !
9,SARCASM,"responds to facts by tossing out frantic insults , then accuses others of being "" triggered by facts ""   "
10,SARCASM,yes there's that but the only one who knows how is sick
11,SARCASM,"Much like Trump , Sen Cruz Tragically born without an bone . _"
12,SARCASM,"Hey , but what do they have to lose ? Asking for some black friends ."
13,SARCASM,"I love how the Stupid Party frequently accuses liberals of being "" tards "" ."
14,SARCASM,we've been laughing about that when his friends didn't want gov jobs . Being a billionaire is way more fun than President .
15,SARCASM,"$ FNMA sweep accounting is antiGAAP . Divs in excess of stated rate , accounted for as operating expense ? Its accounted for as stolen $"
16,SARCASM,I remember a few months back we were saying the Americans shouldn't tell us how to vote on brexit
17,SARCASM,"Last time I checked , there's no Y in "" Science Fiction """
18,SARCASM,I mean if I was a Muslim American I'd feel perfectly safe under a Trump presidency .
19,SARCASM,"Welp , look at what was taken at Game 5 earlier in the series ... #OwnIt #OhhhTheBurn"
20,SARCASM,"now jang / Geo didn't find anything new & Qayyum Siddiqi reporting : SC can't take up tht case , technical grounds etc"
21,SARCASM,Nice to see our PM outright lying to the President
22,SARCASM,"Hopefylly you qualify , proceed , then get collection of any fake glasses you want . but #Winning"
23,SARCASM,The craziest thing about his tweet is he is calling SOMEONE ELSE OUT for being racist .
24,SARCASM,"To answer your rather stupid question , no I do not enjoy harassing women at all _"
25,SARCASM,Sounds good to me . I mean that's the same standard they you when shooting black kids in America why so why not use if when assassinating foreign leaders ?
26,SARCASM,Not enough . Dnt blame me blame electoral college . Libs going to cry that it's rigged ? Tables have turned .
27,SARCASM,"please , do read your own damn comment . Lmao ."
28,SARCASM,Your President spends most of the day bashing people .
29,SARCASM,But in the end there will finally be peace in the Middle East ! / s #wartoendallwars
30,SARCASM,"Ofc he is'nt the mayor of Islam doesn  t mean ignore his own , Don't see any status on EID , Ramadan , Muharram"
31,SARCASM,"alert : Yeah , but doesnt count cuz great PR & #MSM didn't report , right ?  #DNCLeaks"
32,SARCASM,Naw . I was just an attendee . Invited because it was fundraiser . Because I had money .
33,SARCASM,broken system . Can't do much about it . Sucks that we pay taxes for this . Cant even refuse because then we'll go to jail .
34,SARCASM,Thank goodness ... Power was back on after 16 hours .    Could have been only in 2020  
35,SARCASM,Hysterical that they used Williams as a source 4 this story ! #Liar #HillaryLies
36,SARCASM,"Yes , like how "" all of my wedding activities have been ruined by assholes . """
37,SARCASM,""" Not everyone is born with a silver spoon "" yet you defend those brutalizing the protestors who have little ?"
38,SARCASM,"Yeah but that's the Old Testament , we have to unhitch from that ..."
39,SARCASM,some in Billy rays one and only hit .
40,SARCASM,Must be CPFC as Nigel Farage supports them
41,SARCASM,"Her father is an immigrant , from Palestine . Successful CA real estate developer . Muslim ."
42,SARCASM,"Gee give em a break , they've never had to defend Australia before ! #auspol"
43,SARCASM,"rob decries fascism , then silences all those that dare disagree w / him ."
44,SARCASM,Awesome ! ! ! Everybody does it . That's the greatest reason to do something .
45,SARCASM,It tells you everything you need to know about them _
46,SARCASM,Or you commenting on a story you seemingly have no interest in ? #JustSayin
47,SARCASM,"Have at it soyboy , I'm sure you & your 3 followers are gonna cause some serious havoc"
48,SARCASM,Georgie hating on women again I see . Only got her job in news by wearing a short skirt and low cut top
49,SARCASM,Im sure he'll tell us when its time to sell
50,SARCASM,"Wait I'm confused , did President Trump shoot down the jet or did Iran ? "
51,SARCASM,Oh . How scandalous ! You want people to feel comfortable ! How dare you !
52,SARCASM,"But wait , that doesn't make sense to me . I keep being told Kelly throws his players under the bus ."
53,SARCASM,"Right . We should definitely be listening to you , Louise . You just know things ."
54,SARCASM,haha ! and some cry about triple talaq like they care women ... what an .
55,SARCASM,"You know you can listen to them on like , technology . Like spotify and you tube . Dont be bitter . Also , I'm 90 % sure they did play Chicago . #imockwithlove"
56,SARCASM,"> was being exploited , quit , & now fights for UBI ."
57,SARCASM,I was invited by the ministry of tourism _
58,SARCASM,His job is teaching a course on ethics at William and Mary . No kidding .
59,SARCASM,no you don't . They shur down exit ramps for hours simply trying to save time by speeding .
60,SARCASM,Every dentist I've ever known has had a major sweet tooth themself ! #StoryDam
61,SARCASM,? ? ? Man that is causing harm to people he's never met even in his own country ...  .
62,SARCASM,"No , is not a  . No one felt we should have been there because of our  schedule . stepped up , dug deep and eared the win over a tough opponent . This post isn't intended to call OSU a  ... It's just being sarcastic . #ALLIN #Clemson"
63,SARCASM,Gold and not #Bitcoin ? I'm shocked beyond words .
64,SARCASM,"Extremely boring response , but lovely to hear you're considerate about your customers ..."
65,SARCASM,"Sherwood Forest in Annapolis is a $ $ , exclusive neighborhood"
66,SARCASM,Of course not . America is not oil greedy . 
67,SARCASM,".  : From FNs ' child welfare to resource development , the Conservatives ' response has been , "" See you in court "" #cdnpoli"
68,SARCASM,"You know what they say , any joke that needs explanation wasn't funny . Maybe you meant ... I'll rise above having to explain the difference while referencing KU . Oooops my bad"
69,SARCASM,Sen Bertino-Tarrant : we have to be careful what we wish for . Sometime ppl elect bad ppl . Some problems won't be resolved #HB557
70,SARCASM,law enforcement would need guns to take away guns .
71,SARCASM,I'd put money on the fact that you bet correctly .
72,SARCASM,so much wrong with what you just said it's hard to find the start point of where to begin
73,SARCASM,That was Rahul . Thought you would know it . Haven't you been following me long enough to know I wouldn't be voting Cong like in the next janma too ? 
74,SARCASM,It's apparently OK to be compensated for being delayed but not being injured .
75,SARCASM,this is funny been in some ' gangster ' places in SouthLondon & Australia but scariest place I went to was ComptonsSoho
76,SARCASM,"I just "" love "" how you get all of that "" insight "" out of a 22 second ‘ grab'of video ..."
77,SARCASM,Second on . I'm proud of my talent also
78,SARCASM,"Andy , can you read that tweet and then play Lach's UVA-UL post game recording ? #arrogant"
